Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Direction,19,20,5,6
Lines for Marking Time,21,21,7,7
Midnight on Front Street,22,22,8,8
Underground Water,23,24,9,10
Currents,25,26,11,12
Leap in the Dark,27,29,13,15
"In the Longhouse,17,30, Oneida Museum",16
Elegy for Jim White,32,33,18,19
"Nett Lake,21,34, Minnesota",20
A Nation Wrapped in Stone,39,39,25,25
Reaching Yellow River,40,42,26,28
Overcast Dawn,43,43,29,29
"Beginning the Year at Rosebud,30,44, S.D.",30
Winter Burn,45,46,31,32
Midwinter Stars,47,48,33,34
Horses in Snow,49,50,35,36
Song for Facing Winter,51,52,37,38
The White Land,53,53,39,39
l'uni Kwi Athi? Hiatho.,54,54,40,40
The Recognition,57,57,43,43
Steps,58,59,44,45
An Old Man's Round for Geese,60,60,46,46
Blue Mountain,61,61,47,47
The Old Woman in a Shoo,62,62,48,48
Falling Moon,63,64,49,50
Scraps Worthy of Wind,65,66,51,52
Seal at Stinson Beach,67,67,53,53
"For Heather,54,68, Entering Kindergarten",54
Variations for Two Voices,69,70,55,56
Minor Invasions,71,71,57,57
"Love,60,72, the Final Healer",58
Music for Two Guitars,77,77,63,63
A Song for What Never Arrives,78,78,64,64
"Reaching New Town,65,79, N.D.",65
Dream of Rebirth,80,80,66,66
Patterns,81,82,67,68
Climbing Gannett,83,84,69,70
Made of Mist,85,85,71,71
Mother,86,87,72,73
Woman Seed Player,88,89,74,75
Lynn Point Trail,90,91,76,77
