Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
A Physics of Sudden Light,13,14,1,2
Day of the Refugios,17,18,5,6
The Birdman of Nogales,19,21,7,9
The Weekly Morning Meeting of the Town's Civic Band,22,23,10,11
A Smiple Thing to Know,24,25,12,13
Mr. Palomino Walks By Again,26,27,14,15
"At the Street Parties for the 16 de septiembre, 1962",16, Nogales, Mexico
Los voladores de Papantla,30,31,18,19
Appointment Houses,32,34,20,22
Kid Hielero,35,37,23,25
Refugio's Hair,38,39,26,27
Small Risings,43,43,31,31
Signal Right,44,45,32,33
French Postales,46,48,34,36
In Second Grade Miss Lee I Promised Never to Forget You and I Never Did,49,49,37,37
Eating Potato Chips in Middle Age,50,50,38,38
The Venus Trombones,51,52,39,40
My Chili,53,57,41,45
In My Hurry,61,62,49,50
The Nipplebutton,63,64,51,52
A Small Motor,65,65,53,53
The Cities inside Us,66,66,54,54
What We've Done to Each Other,67,68,55,56
The Impossible Still-Life,71,71,59,59
Oranges in a Tree,72,73,60,61
A Yellow Leaf,74,74,62,62
The Fall of the Bears,75,76,63,64
The Gathering Evening,77,77,65,65
Gray Dogs,78,79,66,67
Common Crows in a Winter Tree,80,81,68,69
My Coyote,82,83,70,71
What Happened to Me,84,84,72,72
Under Mesquite Trees in the Sun,85,85,73,73
Rabbits and Fire,86,87,74,75
The Dog inside Mine,88,88,76,76
Chinese Food in the Fifties,91,93,79,81
"Summers,82,94, About 1959",82
In the Strong Hold of Her Thin Arms,95,95,83,83
A September Death,96,96,84,84
If I Leave You,97,101,85,89
Cups of Frothed Chocolate,102,103,90,91
The Lemon Kind of Baseball,104,105,92,93
Domingo Limón,106,109,94,97
Holding My Shirts,110,111,98,99
Writing from Memory,112,113,100,101
Some Extensions on the Sovereignty of Science,114,115,102,103
