Title,Htrc_page_start,Htrc_page_end,Print_page_start,Print_page_end
Arroz Poetica,21,24,,
Jacaranda,27,27,7.0,7.0
"After Lightning,8.0,28, I Dream of Abrigette",8.0
Santa Ana of Grocery Carts,29,30,9.0,10.0
Ode to the Brain,31,31,11.0,11.0
Ode to the Watermelon,32,33,12.0,13.0
Sudan,34,35,14.0,15.0
Palimpsest,36,37,16.0,17.0
Adisogdo's Song,38,39,18.0,19.0
Ride,40,40,20.0,20.0
Then Sing,41,43,21.0,23.0
Here,44,47,24.0,27.0
To the (Heart) Horse,51,51,31.0,31.0
Astigmatism,52,52,32.0,32.0
Conjugation,53,54,33.0,34.0
The Piano,55,56,35.0,36.0
Teeth,57,57,37.0,37.0
Consider the Hands that Write this Letter,58,60,38.0,40.0
"Snail,41.0,42.0, or, To a House"
"Hyena,43.0,63, Hyena",43.0
Cyclops Mary (I),64,64,44.0,44.0
"Cyclops Mary on the Avenue,46.0,65, A Monologue (II)",45.0
The Incredible Story of Mother Mom & the Daughter Who Was Taken by Crows (As Told by the Oldest Girl),67,70,47.0,50.0
Zouk,71,71,51.0,51.0
Ish,72,73,52.0,53.0
"Aunt Margaret,54.0,55.0, Tree of Blackbirds, Tree of Oranges"
Chernobyl,79,79,59.0,59.0
In the Cane Fields,80,80,60.0,60.0
"Limay,61.0,81, Nicaragua",61.0
What Brang Me Here,82,82,62.0,62.0
But When They Go to Light the Fire on Me,83,83,63.0,63.0
"Lázaro,64.0,84, for Don Tranquilino",64.0
Lazrus & Girlie Speak of Rising a Hundred Days After Lazrus' Death,85,86,65.0,66.0
Ghazal,87,88,67.0,68.0
Tucutu Tán,89,90,69.0,70.0
Invocation,93,95,73.0,75.0
Antinion,96,97,76.0,77.0
Scent: Love Poem for the Pilón,101,101,81.0,81.0
The Dog,102,103,82.0,83.0
Ode to the Letter B,104,105,84.0,85.0
"For Estefani Lora,86.0,89.0, Third Grade, Who Made Me a Card"
Monologue of the Heart Pumping Blood,110,111,90.0,91.0
Fiel,112,112,92.0,92.0
"Love,93.0,113,",93.0
The Photograph of Esther Ruth & {Cisco},114,114,94.0,94.0
What Faith to Be this Kind of Fish,115,116,95.0,96.0
For the Psychic at Broadway & 207th,117,118,97.0,98.0
To the Child I Met Without Knowing the Story,119,120,99.0,100.0
The Rain at Dzorwulu,121,122,101.0,102.0
Litany,123,124,103.0,104.0
Epistolary Dream Poem after Finding a Schoolbook Map,125,129,105.0,109.0
